"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1952,28.801,8425333,779.4453145
"Afghanistan","Asia",1957,30.332,9240934,820.8530296
"Afghanistan","Asia",1962,31.997,10267083,853.10071
"Afghanistan","Asia",1967,34.02,11537966,836.1971382
"Afghanistan","Asia",1972,36.088,13079460,739.9811058
"Afghanistan","Asia",1977,38.438,14880372,786.11336
"Albania","Europe",1952,55.23,1282697,1601.056136
"Albania","Europe",1957,59.28,1476505,1942.284244
"Albania","Europe",1962,64.82,1728137,2312.888958
"Albania","Europe",1967,66.22,1984060,2760.196931
"Albania","Europe",1972,67.69,2263554,3313.422188
"Albania","Europe",1977,68.93,2509048,3533.00391
"Algeria","Africa",1952,43.077,9279525,2449.008185
"Algeria","Africa",1957,45.685,10270856,3013.976023
"Algeria","Africa",1962,48.303,11000948,2550.81688
"Algeria","Africa",1967,51.407,12760499,3246.991771
"Algeria","Africa",1972,54.518,14760787,4182.663766
"Algeria","Africa",1977,58.014,17152804,4910.416756
"Angola","Africa",1952,30.015,4232095,3520.610273
"Angola","Africa",1957,31.999,4561361,3827.940465
"Angola","Africa",1962,34,4826015,4269.276742
"Angola","Africa",1967,35.985,5247469,5522.776375
"Angola","Africa",1972,37.928,5894858,5473.288005
"Angola","Africa",1977,39.483,6162675,3008.647355
"Argentina","Americas",1952,62.485,17876956,5911.315053
"Argentina","Americas",1957,64.399,19610538,6856.856212
"Argentina","Americas",1962,65.142,21283783,7133.166023
"Argentina","Americas",1967,65.634,22934225,8052.953021
"Argentina","Americas",1972,67.065,24779799,9443.038526
"Argentina","Americas",1977,68.481,26983828,10079.02674
"Australia","Oceania",1952,69.12,8691212,10039.59564
"Australia","Oceania",1957,70.33,9712569,10949.64959
"Australia","Oceania",1962,70.93,10794968,12217.22686
"Australia","Oceania",1967,71.1,11872264,14526.12465
"Australia","Oceania",1972,71.93,13177000,16788.62948
"Australia","Oceania",1977,73.49,14074100,18334.19751
"Austria","Europe",1952,66.8,6927772,6137.076492
"Austria","Europe",1957,67.48,6965860,8842.59803
"Austria","Europe",1962,69.54,7129864,10750.72111
"Austria","Europe",1967,70.14,7376998,12834.6024
"Austria","Europe",1972,70.63,7544201,16661.6256
"Austria","Europe",1977,72.17,7568430,19749.4223
"Bahrain","Asia",1952,50.939,120447,9867.084765
"Bahrain","Asia",1957,53.832,138655,11635.79945
"Bahrain","Asia",1962,56.923,171863,12753.27514
"Bahrain","Asia",1967,59.923,202182,14804.6727
"Bahrain","Asia",1972,63.3,230800,18268.65839
"Bahrain","Asia",1977,65.593,297410,19340.10196
"Bangladesh","Asia",1952,37.484,46886859,684.2441716
"Bangladesh","Asia",1957,39.348,51365468,661.6374577
"Bangladesh","Asia",1962,41.216,56839289,686.3415538
"Bangladesh","Asia",1967,43.453,62821884,721.1860862
"Bangladesh","Asia",1972,45.252,70759295,630.2336265
"Bangladesh","Asia",1977,46.923,80428306,659.8772322
"Belgium","Europe",1952,68,8730405,8343.105127
"Belgium","Europe",1957,69.24,8989111,9714.960623
"Belgium","Europe",1962,70.25,9218400,10991.20676
"Belgium","Europe",1967,70.94,9556500,13149.04119
"Belgium","Europe",1972,71.44,9709100,16672.14356
"Belgium","Europe",1977,72.8,9821800,19117.97448
"Benin","Africa",1952,38.223,1738315,1062.7522
"Benin","Africa",1957,40.358,1925173,959.6010805
"Benin","Africa",1962,42.618,2151895,949.4990641
"Benin","Africa",1967,44.885,2427334,1035.831411
"Benin","Africa",1972,47.014,2761407,1085.796879
"Benin","Africa",1977,49.19,3168267,1029.161251
"Bolivia","Americas",1952,40.414,2883315,2677.326347
"Bolivia","Americas",1957,41.89,3211738,2127.686326
"Bolivia","Americas",1962,43.428,3593918,2180.972546
"Bolivia","Americas",1967,45.032,4040665,2586.886053
"Bolivia","Americas",1972,46.714,4565872,2980.331339
"Bolivia","Americas",1977,50.023,5079716,3548.097832
"Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679
"Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423
"Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975
"Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305
"Botswana","Africa",1952,47.622,442308,851.2411407
"Botswana","Africa",1957,49.618,474639,918.2325349
"Botswana","Africa",1962,51.52,512764,983.6539764
"Botswana","Africa",1967,53.298,553541,1214.709294
"Botswana","Africa",1972,56.024,619351,2263.611114
"Botswana","Africa",1977,59.319,781472,3214.857818
"Brazil","Americas",1952,50.917,56602560,2108.944355
"Brazil","Americas",1957,53.285,65551171,2487.365989
"Brazil","Americas",1962,55.665,76039390,3336.585802
"Brazil","Americas",1967,57.632,88049823,3429.864357
"Brazil","Americas",1972,59.504,100840058,4985.711467
"Brazil","Americas",1977,61.489,114313951,6660.118654
"Bulgaria","Europe",1952,59.6,7274900,2444.286648
"Bulgaria","Europe",1957,66.61,7651254,3008.670727
"Bulgaria","Europe",1962,69.51,8012946,4254.337839
"Bulgaria","Europe",1967,70.42,8310226,5577.0028
"Bulgaria","Europe",1972,70.9,8576200,6597.494398
"Bulgaria","Europe",1977,70.81,8797022,7612.240438
"Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"Burkina Faso","Africa",1967,40.697,5127935,794.8265597
"Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"Burundi","Africa",1952,39.031,2445618,339.2964587
"Burundi","Africa",1957,40.533,2667518,379.5646281
"Burundi","Africa",1962,42.045,2961915,355.2032273
"Burundi","Africa",1967,43.548,3330989,412.9775136
"Burundi","Africa",1972,44.057,3529983,464.0995039
"Burundi","Africa",1977,45.91,3834415,556.1032651
"Cambodia","Asia",1952,39.417,4693836,368.4692856
"Cambodia","Asia",1957,41.366,5322536,434.0383364
"Cambodia","Asia",1962,43.415,6083619,496.9136476
"Cambodia","Asia",1967,45.415,6960067,523.4323142
"Cambodia","Asia",1972,40.317,7450606,421.6240257
"Cambodia","Asia",1977,31.22,6978607,524.9721832
"Cameroon","Africa",1952,38.523,5009067,1172.667655
"Cameroon","Africa",1957,40.428,5359923,1313.048099
"Cameroon","Africa",1962,42.643,5793633,1399.607441
"Cameroon","Africa",1967,44.799,6335506,1508.453148
"Cameroon","Africa",1972,47.049,7021028,1684.146528
"Cameroon","Africa",1977,49.355,7959865,1783.432873
"Canada","Americas",1952,68.75,14785584,11367.16112
"Canada","Americas",1957,69.96,17010154,12489.95006
"Canada","Americas",1962,71.3,18985849,13462.48555
"Canada","Americas",1967,72.13,20819767,16076.58803
"Canada","Americas",1972,72.88,22284500,18970.57086
"Canada","Americas",1977,74.21,23796400,22090.88306
"Central African Republic","Africa",1952,35.463,1291695,1071.310713
"Central African Republic","Africa",1957,37.464,1392284,1190.844328
"Central African Republic","Africa",1962,39.475,1523478,1193.068753
"Central African Republic","Africa",1967,41.478,1733638,1136.056615
"Central African Republic","Africa",1972,43.457,1927260,1070.013275
"Central African Republic","Africa",1977,46.775,2167533,1109.374338
"Chad","Africa",1952,38.092,2682462,1178.665927
"Chad","Africa",1957,39.881,2894855,1308.495577
"Chad","Africa",1962,41.716,3150417,1389.817618
"Chad","Africa",1967,43.601,3495967,1196.810565
